id,osf_title,contributors
25a6x,Causal Beliefs for Socioeconomic Status Attainment Scale: Development and Validation ,['Hohjin Im']
2j47e,Data and code for: Establishing the Transdiagnostic Contextual Pathways of Emotional Outbursts,['Justin Chung']
2phst,Social Space Diffusion: Applications of a Latent Space Model to Diffusion with Uncertain Ties,['Jacob C. Fisher']
2qjn5,Consonant co-occurrence classes and the feature-economy principle: Code and data,['Dmitry Nikolaev']
2sguf,Values about inequality and social control demonstrate important but complex relationships with economic and social conservatism in a US sample,['Guy A. Lavender Forsyth']
2sz48,Impact of information presentation on interpretability of spatial hazard information: Lessons from a study in avalanche safety---Data and Code,"['Pascal Haegeli', 'Katie Fisher', 'Patrick Mair']"
2uf8j,Socially Situated Transmission: The Bias to Transmit Negative Information is Moderated by the Social Context,"['Nicolas Fay', 'Bradley Walker', 'Yoshihisa Kashima', 'Andrew Perfors']"
2yq8a,Dissecting Functional Contributions of the Social Brain  to Strategic Behavior,['Arkady Konovalov']
37rfb,Using verb morphology to predict subject number in L1 and L2 sentence processing: A visual-world eye-tracking experiment - Supplementary materials,"['Eva Marie Koch', 'Bram Bulté', 'Aline Godfroid', 'Alex Housen']"
3aryn,The Relative Effectiveness of Different Approaches to Animal Advocacy,"['Faunalytics', 'Jamie Parry']"
3b59h,"Sievert, Vogel, &amp; Feeney (2022): Formalization and Administrative Burden as Obstacles to Employee Recruitment","['Dominik Vogel', 'Martin Sievert']"
3bn9u,‘In the Line of Fire’: Science news surveys,"['Timothy M. Errington', ""Cathleen O'Grady""]"
3bpn6,"Data and code for ""Contrasting parental roles shape sex differences in poison frog space use but not navigational performance.""",['Andrius Pašukonis']
3fnjq,Recognizing Campaign Effects on Social Media,['Lucas Czarnecki']
3gfqn,VADIS -- Variation-based distance and similarity modeling,"['Benedikt Szmrecsanyi', 'Jason Grafmiller', 'Laura Rosseel']"
3hgpe,Science-related populism declining during the COVID-19 pandemic: A panel survey of the Swiss population before and after the Coronavirus outbreak,['Niels G. Mede']
3kem6,Ongoing and future challenges of the network approach to psychopathology:  From theoretical conjectures to clinical translations,"['Annelise Blanchard', 'Alexandre Heeren']"
3uyjt,Machine-Learning Approaches to Structural Equation Modeling,"['Andreas Markus Brandmaier', 'Ross Jacobucci']"
3w8eg,The application of a network approach to Health-Related Quality of Life (HRQoL): introducing a new method for assessing HRQoL in healthy adults and cancer patients,['Jolanda Kossakowski']
3wy58,Is flight initiation distance associated with longer-term survival in yellow-bellied marmots (Marmota flaviventer)?,"['Daniel T. Blumstein', 'McKenna Sanchez', 'Conner S. Philson', 'Louis Bliard', 'Marmots of RMBL', 'YB marmots']"
42nyv,Young Infants' Attentional Preference for Social Interactions,"['Maleen Thiele', 'Robert Hepach', 'Christine Michel', 'Daniel Haun']"
49sq5,neatStats,"['Gáspár Lukács', 'Christopher Pfeiffer']"
4a9b6,Third-Party Social Interaction Targets Enhance Infants' Visual Learning,"['Maleen Thiele', 'Daniel Haun', 'Robert Hepach', 'Christine Michel', 'Gustaf Gredebäck']"
4anzm,"Normative Reference Values for FEES and VASES: Preliminary Data From 39 Nondysphagic, Community-Dwelling Adults","['James Arthur Curtis', 'James C. Borders', 'Avery Dakin']"
4fvwe,Priming and multiplication fact retrieval,['Daniele Didino']
4g2tu,Beliefs about social dynamics and open science,"['Ashley J. Thomas', 'Chris Bourg', 'Rebecca Saxe', 'Hannah Hok']"
4kmdv,Learning about social category-based obligations,"['Lisa Chalik', 'Marjorie Rhodes']"
4sjxz,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code],"['Christian Valuch', 'Leonie Baumann']"
4ya6x,Modeling latent topics in social media using Dynamic Exploratory Graph Analysis: The case of the right-wing and left-wing trolls in the 2016 US elections,['Hudson Golino']
53w96,INLA_GHG_GMD,['Luke Western']
5ejcq,PASANOA_PossibilityFrontier_archive,['Elizabeth Law']
5ezfk,Workshop Advanced SWAT: Calibration and satellite data,"['Rutger Willem Vervoort', 'Flora Mer']"
5hpjn,"NetworkToolbox: Methods and Measures for Brain, Cognitive, and Psychometric Network Analysis in R",['Alexander P. Christensen']
5nh94,Data and code for: 'Characterising group-level brain connectivity: a framework using Bayesian exponential random graph models',['Brieuc Lehmann']
5qx7e,Practice-related Changes in Perceptual Evidence Accumulation Correlate with Changes in Working Memory,['Florian Schmiedek']
5s34w,Impact of face masks on speech in Parkinson's disease: Effect of clear and loud speech styles,['Thea Knowles']
5te7n,Color SNARC: response latency and semantic processing,['Daniele Didino']
5xdbu,Follow-up: Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns,"['Benjamin Storme', 'Laura Delaloye Saillen']"
5y27d,The Prospective Incidence of Treatment Resistant Schizophrenia: Analysis of the CATIE Trial using the TRRIP Consensus,['Dan W. Joyce']
5yvnb,The role of sensorimotor processes in social group contagion,"['Emiel Cracco', 'Marcel Brass']"
62je8,Consistent metacommunity structure despite inconsistent drivers of assembly at the continental scale,"['David Murray-Stoker', 'Kelly Mackenzie Murray-Stoker']"
6579b,Assessing Distinguishable Social Skills in Medical Admission -  Does Construct-Driven Development Solve Validity Issues of Situational Judgment Tests? ,"['Ina Mielke', 'Simon M. Breil', 'Dorothee Amelung', 'Lia Espe', 'Mirjana Knorr']"
67ncp,The role of mesotocin on social bonding in pinyon jays,"['Jeffrey R Stevens', 'Juan F. Duque']"
6g4js,Introduction to R Workshop CPA 2022 Calgary,"['Udi Alter', 'Naomi Martinez Gutierrez']"
6hx2n,Investigating the Syntax-Discourse Interface in the Phonetic Implementation of Discourse Markers,"['Mathilde Hutin', 'Marc Allassonnière-Tang']"
6jmke,Who cares? Pastoral care in Dutch Protestant Parishes,"['Theo Pleizier', 'Karen Zwijze-Koning', 'Marten Van der Meulen']"
6krj7,Need dynamics,['Andreas Neubauer']
6pq9e,"Tap Water, Top Water? Quality (mis)-perception, price (mis)-perception and drinking water choice",['Romain Crastes Dit Sourd']
6q73b,Inclusion of females does not increase variability in rodent research studies,['Annaliese Beery']
6qej7,From Controlled Trials to Classrooms,"['Patricia Chen', 'Teo Wen Hao Dennis', 'Desmond C. Ong']"
6ukwg,"Supplemental materials for preprint: Detecting (non)parallel evolution in multidimensional spaces: angles, correlations, and eigenanalysis","['Junya Watanabe', 'Daniel Ortiz-Barrientos']"
6ya5d,"Social Media, Habits, and Rewards","['Ian Anderson', 'Wendy Wood']"
6z79s,Network Science for Mapping Bilingual Conversational Topics,"['Mehrgol Tiv', 'Jason W. Gullifer', 'Debra Titone']"
73y8p,Validation of the RAQ-R in psychiatric patients,['Lisa Palm']
74qnu,Predicting Actual Social Skill Expression From Personality and Skill Self-Concepts,"['Simon M. Breil', 'Ina Mielke', 'Mitja Back']"
7h94n,Data and code for Thompson et al. Chronology of early human impacts and ecosystem reorganisation in central Africa,"['Erik Otarola-Castillo', 'Benjamin J. Schiery', 'Jessica Thompson']"
7mey8,A Bayesian Approach to Evaluation of Soil Biogeochemical Models Meta-analysis Data and R and Stan Code,['Hua Xie']
7v4ep,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""",['Jessica van der Wal']
