id,osf_title,contributors
2sz48,Impact of information presentation on interpretability of spatial hazard information: Lessons from a study in avalanche safety---Data and Code,"['Pascal Haegeli', 'Katie Fisher', 'Patrick Mair']"
2yq8a,Dissecting Functional Contributions of the Social Brain  to Strategic Behavior,['Arkady Konovalov']
3bpn6,"Data and code for ""Contrasting parental roles shape sex differences in poison frog space use but not navigational performance.""",['Andrius Pašukonis']
3w8eg,The application of a network approach to Health-Related Quality of Life (HRQoL): introducing a new method for assessing HRQoL in healthy adults and cancer patients,['Jolanda Kossakowski']
3wy58,Is flight initiation distance associated with longer-term survival in yellow-bellied marmots (Marmota flaviventer)?,"['Daniel T. Blumstein', 'McKenna Sanchez', 'Conner S. Philson', 'Louis Bliard', 'Marmots of RMBL', 'YB marmots']"
49sq5,neatStats,"['Gáspár Lukács', 'Christopher Pfeiffer']"
4a9b6,Third-Party Social Interaction Targets Enhance Infants' Visual Learning,"['Maleen Thiele', 'Daniel Haun', 'Robert Hepach', 'Christine Michel', 'Gustaf Gredebäck']"
4kmdv,Learning about social category-based obligations,"['Lisa Chalik', 'Marjorie Rhodes']"
4ya6x,Modeling latent topics in social media using Dynamic Exploratory Graph Analysis: The case of the right-wing and left-wing trolls in the 2016 US elections,['Hudson Golino']
5hpjn,"NetworkToolbox: Methods and Measures for Brain, Cognitive, and Psychometric Network Analysis in R",['Alexander P. Christensen']
5qx7e,Practice-related Changes in Perceptual Evidence Accumulation Correlate with Changes in Working Memory,['Florian Schmiedek']
6579b,Assessing Distinguishable Social Skills in Medical Admission -  Does Construct-Driven Development Solve Validity Issues of Situational Judgment Tests? ,"['Ina Mielke', 'Simon M. Breil', 'Dorothee Amelung', 'Lia Espe', 'Mirjana Knorr']"
67ncp,The role of mesotocin on social bonding in pinyon jays,"['Jeffrey R Stevens', 'Juan F. Duque']"
6q73b,Inclusion of females does not increase variability in rodent research studies,['Annaliese Beery']
6qej7,From Controlled Trials to Classrooms,"['Patricia Chen', 'Teo Wen Hao Dennis', 'Desmond C. Ong']"
74qnu,Predicting Actual Social Skill Expression From Personality and Skill Self-Concepts,"['Simon M. Breil', 'Ina Mielke', 'Mitja Back']"
7wd8e,Health patterns among migrant and non-migrant elderly in Europe – Analyses based on SHARE 2004-2020,['Daniel Lüdecke']
7xsfj,Using avalanche problems to examine the effect of large-scale atmosphere-ocean oscillations on avalanche hazard in western Canada---Data and Code,"['Pascal Haegeli', 'Patrick Mair', 'Bret Shandro']"
82dqk,"Litter origins, accumulation rates, and hierarchical composition on urban roadsides of the Inland Empire, California",['Win Cowger']
8abj4,Context Effects on Reproduced Magnitudes from Short-Term and Long-Term Memory,"['William Hayes', 'Douglas Wedell', 'Jongwan Kim']"
8fzns,Code for 'Conditioning: How background variables can influence PISA scores',['Laura Zieger']
938ye,Learning second language morphosyntax in dialogue under explicit and implicit conditions: An experimental study with advanced adult learners of German - Supplemetary materials,"['Eva Marie Koch', 'Johanna de Vos', 'Alex Housen', 'Aline Godfroid', 'Kristin Lemhöfer']"
9jxzs,In situ laboratory for plastic degradation in the Red Sea,"['Franz Brümmer', 'Uwe Schnepf', 'Julia Resch', 'Raouf Jemmali', 'Rahma Abdi', 'Hesham Mostafa Kamel', 'Christian Bonten', 'Ralph-Walter Müller']"
9qbwv,Anchoring does not activate examples associated with the anchor value,['Štěpán Bahník']
9vn68,"Familial resemblance in mental health symptoms, social and cognitive vulnerability, and personality: A study of patients with depressive and anxiety disorders and their siblings","['Eleonore van Sprang', 'Dominique Maciejewski']"
a3yd4,Cultural Diversity in Unequal Societies Sustained Through Cross-Cultural Competence and Identity Valuation,['John A. Bunce']
a6tuw,New insights into the correlation structure of DSM-IV depression symptoms in the general population versus subsamples of depressed individuals,"['Simon Foster', 'Meichun Mohler-Kuo']"
a9bv6,spreadr: A R package to simulate spreading activation in a network,['Cynthia S. Q. Siew']
aczx5,"Travel and terrain advice statements in public avalanche bulletins: A quantitative analysis of who uses this information, what makes it useful, and how it can be improved for users---Data and Code","['Pascal Haegeli', 'Katie Fisher', 'Patrick Mair']"
ajf3h,Kbrevis (2022),['Miles Medina']
akywf,"Codes: False alarm? A comprehensive reanalysis of “Evidence that psychopathology symptom networks have limited replicability” by Forbes, Wright, Markon, and Krueger.","['Denny Borsboom', 'Eiko I. Fried', 'Sacha Epskamp', 'Lourens Waldorp', 'Claudia D. van Borkulo', 'Han van der Maas', 'Angélique Cramer']"
b5ydr,Meta-Analyses of Variables Related to Instruction in Augmentative and Alternative Communication Implementation,"['James E Pustejovsky', 'J. B. Ganz', 'Kimberly Vannest', 'Sanikan Wattanawongwan']"
bfq39,Best practice guidance for linear mixed-effects models in psychological science,"['Lotte Meteyard', 'Rob Davies']"
c8vfj,Social group membership does not modulate automatic imitation in a contrastive multi-agent paradigm,"['Emiel Cracco', 'Laura De Souter', 'Senne Braem', 'Marcel Brass', 'Oliver Genschow']"
csy8q,Transparency of CHI Research Artifacts: Results of a Self-Reported Survey,"['Chat Wacharamanotham', 'Lukas Eisenring', 'Steve Haroz', 'Florian Echtler']"
cxv5k,"Materials for the study ""Temporal trends in mortality and readmission after acute heart failure : A systematic review and meta-regression in the past three decades""","['Antoine Kimmoun, MD', 'Takagi', 'Gall', 'Ishihara', 'Hammoum', 'NATHAN EL BEZE', 'bourgeois', 'Guillaume CHASSARD', 'Pegorer-Sfes', 'Etienne Gayat', 'Cohen Solal', 'Hollinger', 'Thomas Merkling', 'mebazaa']"
d3tg5,The effects of everyday-life social interactions on anxiety-related autonomic responses differ between men and women,['Marthe Gründahl']
d9jny,Code for paper ALL-IN meta-analysis: breathing life into living systematic reviews,['Judith ter Schure']
dcw4x,Social inequalities and loneliness as predictors of ageing well,['Daniel Lüdecke']
dkq3f,Facial expressions at perceptual threshold on EDA and social comfort distance,"['Alice Cartaud', 'Laurent Ott', 'Tina Iachini', 'Jacques Honoré', 'Yann Coello']"
dqjyh,Interpersonal motor synchrony in Autism: systematic review and meta-analysis,"['Laura Carnevali', 'Irene Valori', 'Gianmarco Altoè', 'Teresa Farroni']"
drv3a,Cubic Response Surface Analysis: Investigating Asymmetric and Level-Dependent Congruence Effects With Third-Order Polynomial Models,"['Sarah Humberg', 'Felix Schönbrodt', 'Mitja Back', 'Steffen Nestler']"
ecjy6,How to disentangle psychobiological stress reactivity and recovery: A comparison of model-based and non-compartmental analyses of the cortisol concentrations,['Robert Miller']
egpr5,Gender associations in the twentieth-century English-language literature,"['Daniel Schulz', 'Štěpán Bahník']"
