id,osf_title
25a6x,Causal Beliefs for Socioeconomic Status Attainment Scale: Development and Validation 
2j47e,Data and code for: Establishing the Transdiagnostic Contextual Pathways of Emotional Outbursts
2phst,Social Space Diffusion: Applications of a Latent Space Model to Diffusion with Uncertain Ties
2qjn5,Consonant co-occurrence classes and the feature-economy principle: Code and data
2sguf,Values about inequality and social control demonstrate important but complex relationships with economic and social conservatism in a US sample
2sz48,Impact of information presentation on interpretability of spatial hazard information: Lessons from a study in avalanche safety---Data and Code
2uf8j,Socially Situated Transmission: The Bias to Transmit Negative Information is Moderated by the Social Context
2yq8a,Dissecting Functional Contributions of the Social Brain  to Strategic Behavior
37rfb,Using verb morphology to predict subject number in L1 and L2 sentence processing: A visual-world eye-tracking experiment - Supplementary materials
3aryn,The Relative Effectiveness of Different Approaches to Animal Advocacy
3b59h,"Sievert, Vogel, &amp; Feeney (2022): Formalization and Administrative Burden as Obstacles to Employee Recruitment"
3bn9u,‘In the Line of Fire’: Science news surveys
3bpn6,"Data and code for ""Contrasting parental roles shape sex differences in poison frog space use but not navigational performance."""
3fnjq,Recognizing Campaign Effects on Social Media
3gfqn,VADIS -- Variation-based distance and similarity modeling
3hgpe,Science-related populism declining during the COVID-19 pandemic: A panel survey of the Swiss population before and after the Coronavirus outbreak
3kem6,Ongoing and future challenges of the network approach to psychopathology:  From theoretical conjectures to clinical translations
3uyjt,Machine-Learning Approaches to Structural Equation Modeling
3w8eg,The application of a network approach to Health-Related Quality of Life (HRQoL): introducing a new method for assessing HRQoL in healthy adults and cancer patients
3wy58,Is flight initiation distance associated with longer-term survival in yellow-bellied marmots (Marmota flaviventer)?
42nyv,Young Infants' Attentional Preference for Social Interactions
49sq5,neatStats
4a9b6,Third-Party Social Interaction Targets Enhance Infants' Visual Learning
4anzm,"Normative Reference Values for FEES and VASES: Preliminary Data From 39 Nondysphagic, Community-Dwelling Adults"
4fvwe,Priming and multiplication fact retrieval
4g2tu,Beliefs about social dynamics and open science
4kmdv,Learning about social category-based obligations
4sjxz,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code]
4ya6x,Modeling latent topics in social media using Dynamic Exploratory Graph Analysis: The case of the right-wing and left-wing trolls in the 2016 US elections
53w96,INLA_GHG_GMD
5ejcq,PASANOA_PossibilityFrontier_archive
5ezfk,Workshop Advanced SWAT: Calibration and satellite data
