Source,Title,DOI,ids
https://osf.io/fw7vz/,Supplemental materials for preprint: Limits of perception and richness of behaviour: Dissociating implicit and explicit ensemble representations,10.17605/OSF.IO/FW7VZ,fw7vz
https://osf.io/c4v7g/,Self-efficacy in Bipolar Disorder: Development and Validation of a Self-Report Scale,10.17605/OSF.IO/C4V7G,c4v7g
https://osf.io/s7u23/,Scripts to Calculate Stress Resilience Scores as Regression Residuals,10.17605/OSF.IO/S7U23,s7u23
https://osf.io/bdw5r/,Within-person coupling reliability,10.17605/OSF.IO/BDW5R,bdw5r
https://osf.io/z643c/,Prevention of Eating Disorders at Universities: A Systematic Review and Meta-Analysis,10.17605/OSF.IO/Z643C,z643c
https://osf.io/ehz9s/,Opinions and Gaze Coordination,10.17605/OSF.IO/EHZ9S,ehz9s
https://osf.io/xh36s/,Manipulating Free Will Beliefs using online video games,10.17605/OSF.IO/XH36S,xh36s
https://osf.io/rmkge/,Landform boundary effects on Holocene forager landscape use in arid South Australia,10.17605/OSF.IO/RMKGE,rmkge
https://osf.io/cxy58/,Motivating conservation even for widespread species using genetic uniqueness and relational values,10.17605/OSF.IO/CXY58,cxy58
https://osf.io/9b7mk/,Can ridge and elastic net structural equation modeling be used to stabilize parameter estimates when latent factors are correlated?,10.17605/OSF.IO/9B7MK,9b7mk
https://osf.io/w7zkc/,MVPA Meanderings,10.17605/OSF.IO/W7ZKC,w7zkc
https://osf.io/w5tqv/,Meta-analysis of the 'ironic' effects of intergroup contact,10.17605/OSF.IO/W5TQV,w5tqv
https://osf.io/hz843/,Big Data in the Psychological Sciences @ UChicago,10.17605/OSF.IO/HZ843,hz843
https://osf.io/wcfj3/,Cognitive Benefits of Learning Additional Languages in Old Adulthood? Insights from an Intensive Longitudinal Intervention Study,10.17605/OSF.IO/WCFJ3,wcfj3
https://osf.io/6krj7/,Need dynamics,10.17605/OSF.IO/6KRJ7,6krj7
https://osf.io/z2qs3/,AREAS IMPORTANT FOR ECOLOGICAL CONNECTIVITY THROUGHOUT CANADA,10.17605/OSF.IO/Z2QS3,z2qs3
https://osf.io/dh32q/,Rating interviews - positivity,10.17605/OSF.IO/DH32Q,dh32q
https://osf.io/cqsr8/,Why did a vehicle stop? A methodology for detection and classification of stops in vehicle trajectories,10.17605/OSF.IO/CQSR8,cqsr8
https://osf.io/6b8mz/,Western European Diet in the First Millennium AD,10.17605/OSF.IO/6B8MZ,6b8mz
https://osf.io/5y27d/,The Prospective Incidence of Treatment Resistant Schizophrenia: Analysis of the CATIE Trial using the TRRIP Consensus,10.17605/OSF.IO/5Y27D,5y27d
https://osf.io/5ezfk/,Workshop Advanced SWAT: Calibration and satellite data,10.17605/OSF.IO/5EZFK,5ezfk
https://osf.io/t7a28/,Prediction of Health-Related Outcomes and Turnover Intention with the Munich Employee Health Questionnaire (MEHQ),10.17605/OSF.IO/T7A28,t7a28
https://osf.io/9bsxe/,Functional brain connectivity during exposure to the scale and color of interior built environments,10.17605/OSF.IO/9BSXE,9bsxe
https://osf.io/rs6un/,A systematic study into the factors that affect the predictive accuracy of multilevel VAR(1) models,10.17605/OSF.IO/RS6UN,rs6un
https://osf.io/sufjn/,Risky therefore not beneficial: Replication and extension of  Finucane et al. (2000)'s Affect Heuristic experiment,10.17605/OSF.IO/SUFJN,sufjn
https://osf.io/q8s3w/,Power pose effects on approach and avoidance decisions in response to social threat,10.17605/OSF.IO/Q8S3W,q8s3w
https://osf.io/abzpg/,Six dimensions describe action understanding: the ACT-FASTaxonomy,10.17605/OSF.IO/ABZPG,abzpg
https://osf.io/ra3dp/,Effects of Psychological Distance on Mental Abstraction: A Registered Report of Four Tests of Construal Level Theory,10.17605/OSF.IO/RA3DP,ra3dp
https://osf.io/5awp4/,Improving your neuroscience - SFN Workshop,10.17605/OSF.IO/5AWP4,5awp4
https://osf.io/5zb8p/,Repository of psychological instruments in Serbian [Repozitorijum psiholoških instrumenata na srpskom jeziku] (REPOPSI),10.17605/OSF.IO/5ZB8P,5zb8p
https://osf.io/rtzth/,Movement of lithics by trampling: An experiment in the Madjedbebe sediments,10.17605/OSF.IO/RTZTH,rtzth
https://osf.io/mc26t/,Count regression models for keyness analysis,10.17605/OSF.IO/MC26T,mc26t
https://osf.io/pvyhe/,How subcultures emerge,10.17605/OSF.IO/PVYHE,pvyhe
https://osf.io/w97h4/,Vogel & Willems (2020). The effects of making public service employees aware of their prosocial and societal impact: A microintervention,10.17605/OSF.IO/W97H4,w97h4
https://osf.io/p46mb/,ChrontouR,10.17605/OSF.IO/P46MB,p46mb
https://osf.io/bj27x/,Estimating party positions on immigration: Assessing the reliability and validity of different methods,10.17605/OSF.IO/BJ27X,bj27x
https://osf.io/zmbv5/,Compendium for Galápagos tortoise stable isotope ecology and the 1850s Floreana Island Chelonoidis niger niger extinction,10.17605/OSF.IO/ZMBV5,zmbv5
https://osf.io/2n3rf/,How do archaeologists write about racism? Computational text analysis of 41 years of Society of American Archaeology Annual Meeting Abstracts,10.17605/OSF.IO/2N3RF,2n3rf
https://osf.io/gznuc/,Masked priming,10.17605/OSF.IO/GZNUC,gznuc
https://osf.io/4fvwe/,Priming and multiplication fact retrieval,10.17605/OSF.IO/4FVWE,4fvwe
