id,osf_title,status,pdf_url
25a6x,Causal Beliefs for Socioeconomic Status Attainment Scale: Development and Validation ,not found,
2j47e,Data and code for: Establishing the Transdiagnostic Contextual Pathways of Emotional Outbursts,not found,
2phst,Social Space Diffusion: Applications of a Latent Space Model to Diffusion with Uncertain Ties,not found,
2qjn5,Consonant co-occurrence classes and the feature-economy principle: Code and data,not found,
2sguf,Values about inequality and social control demonstrate important but complex relationships with economic and social conservatism in a US sample,no pdf,
2uf8j,Socially Situated Transmission: The Bias to Transmit Negative Information is Moderated by the Social Context,not found,
37rfb,Using verb morphology to predict subject number in L1 and L2 sentence processing: A visual-world eye-tracking experiment - Supplementary materials,not found,
3aryn,The Relative Effectiveness of Different Approaches to Animal Advocacy,downloaded,https://core.ac.uk/download/28975512.pdf
3b59h,"Sievert, Vogel, &amp; Feeney (2022): Formalization and Administrative Burden as Obstacles to Employee Recruitment",no pdf,
3bn9u,‘In the Line of Fire’: Science news surveys,download error,https://core.ac.uk/download/288432899.pdf
3fnjq,Recognizing Campaign Effects on Social Media,downloaded,https://core.ac.uk/download/62548542.pdf
3gfqn,VADIS -- Variation-based distance and similarity modeling,downloaded,https://core.ac.uk/download/pdf/267319884.pdf
3hgpe,Science-related populism declining during the COVID-19 pandemic: A panel survey of the Swiss population before and after the Coronavirus outbreak,not found,
3kem6,Ongoing and future challenges of the network approach to psychopathology:  From theoretical conjectures to clinical translations,not found,
3uyjt,Machine-Learning Approaches to Structural Equation Modeling,downloaded,http://arxiv.org/abs/1905.10954
42nyv,Young Infants' Attentional Preference for Social Interactions,downloaded,https://core.ac.uk/download/55802331.pdf
4anzm,"Normative Reference Values for FEES and VASES: Preliminary Data From 39 Nondysphagic, Community-Dwelling Adults",not found,
4fvwe,Priming and multiplication fact retrieval,downloaded,https://core.ac.uk/download/55836577.pdf
4g2tu,Beliefs about social dynamics and open science,downloaded,https://core.ac.uk/download/82893865.pdf
4sjxz,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code],error,
53w96,INLA_GHG_GMD,no pdf,
5ejcq,PASANOA_PossibilityFrontier_archive,no pdf,
5ezfk,Workshop Advanced SWAT: Calibration and satellite data,not found,
5nh94,Data and code for: 'Characterising group-level brain connectivity: a framework using Bayesian exponential random graph models',not found,
5s34w,Impact of face masks on speech in Parkinson's disease: Effect of clear and loud speech styles,not found,
5te7n,Color SNARC: response latency and semantic processing,not found,
5xdbu,Follow-up: Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns,not found,
5y27d,The Prospective Incidence of Treatment Resistant Schizophrenia: Analysis of the CATIE Trial using the TRRIP Consensus,not found,
5yvnb,The role of sensorimotor processes in social group contagion,downloaded,https://core.ac.uk/download/286712434.pdf
62je8,Consistent metacommunity structure despite inconsistent drivers of assembly at the continental scale,downloaded,https://core.ac.uk/download/628870159.pdf
6g4js,Introduction to R Workshop CPA 2022 Calgary,downloaded,https://core.ac.uk/download/637925937.pdf
6hx2n,Investigating the Syntax-Discourse Interface in the Phonetic Implementation of Discourse Markers,download error,https://core.ac.uk/download/1661514.pdf
6jmke,Who cares? Pastoral care in Dutch Protestant Parishes,downloaded,https://core.ac.uk/download/582397540.pdf
6krj7,Need dynamics,downloaded,https://core.ac.uk/download/292906736.pdf
6pq9e,"Tap Water, Top Water? Quality (mis)-perception, price (mis)-perception and drinking water choice",downloaded,https://core.ac.uk/download/614993926.pdf
6ukwg,"Supplemental materials for preprint: Detecting (non)parallel evolution in multidimensional spaces: angles, correlations, and eigenanalysis",not found,
6ya5d,"Social Media, Habits, and Rewards",downloaded,https://core.ac.uk/download/215711545.pdf
6z79s,Network Science for Mapping Bilingual Conversational Topics,downloaded,https://core.ac.uk/download/322580965.pdf
73y8p,Validation of the RAQ-R in psychiatric patients,downloaded,https://core.ac.uk/download/599752123.pdf
7h94n,Data and code for Thompson et al. Chronology of early human impacts and ecosystem reorganisation in central Africa,download error,https://core.ac.uk/download/541360307.pdf
7mey8,A Bayesian Approach to Evaluation of Soil Biogeochemical Models Meta-analysis Data and R and Stan Code,downloaded,https://core.ac.uk/download/268799692.pdf
7v4ep,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""",not found,
7vbj9,Competition for novelty reduces information sampling in a research game - a registered report.,downloaded,https://core.ac.uk/download/41991656.pdf
7vbtr,"Gyurkovics, Stafford, &amp; Levita: ""Cognitive control across adolescence: Dynamic adjustments and mind-wandering""",not found,
7z3mk,Exploring Content Knowledge: Country Profile of Science Strengths and Weaknesses in TIMSS. Possible Implications for Educational Professionals and Science Research,not found,
8akru,"Preconference ""Estimating and interpreting psychological networks in R""",downloaded,http://deepblue.lib.umich.edu/bitstream/2027.42/136034/1/sipr12030_am.pdf
8edp7,"Social factors, pre-existing mental disorders and distress during COVID-19",downloaded,https://core.ac.uk/download/534410295.pdf
8fsbd,Assignment 7.1 Open Science,downloaded,http://arxiv.org/abs/1212.4548
8fw3b,Familiar size,downloaded,https://core.ac.uk/download/61661687.pdf
92e6c,The energetics of uniquely human subsistence strategies,downloaded,https://core.ac.uk/download/603247203.pdf
94jyp,Open Science @ SoPVS,downloaded,https://core.ac.uk/download/pdf/30687349.pdf
975k3,Statistical Power and Optimal Design of RCTs Investigating Mediation Effects,downloaded,https://core.ac.uk/download/12432.pdf
9e3cu,R for Chemists and Biochemists materials and resources,downloaded,https://core.ac.uk/download/211351671.pdf
9gjyc,Strategic disinformation outperforms honesty in competition for social influence,downloaded,http://arxiv.org/abs/2310.08483
9gq4a,Getting Started With R When You Know Absolutely Nothing,downloaded,https://core.ac.uk/download/9063702.pdf
9jzfr,Construction and Initial Validation of the Worth and Value Self-Esteem Scale (WAVSES) ,no pdf,
9mc84,DGPS2018 - An Introduction to Machine Learning for Psychologists in R,no pdf,
9tnmv,Overcorrection for Social Categorization Information Moderates Impact Bias in Affective Forecasting,downloaded,https://core.ac.uk/download/615456421.pdf
9vr6q,Expanding R Through Accessible Interactivity: Development of tidy psychological statistics modules- SIPS Grants In Aid 2023,not found,
a8htx,"Early representations of social intimacy: Infants, toddlers, and children use saliva sharing as a cue of close social affiliation",not found,
abts4,SDT Probit Models for Deception Research - R,downloaded,https://core.ac.uk/download/599335250.pdf
amd3r,"Data and code from ""Wind conditions influence breeding season movements in a nomadic polygynous shorebird""",downloaded,https://core.ac.uk/download/597479764.pdf
b4gc7,"Workshop ""Estimating and interpreting psychological networks in R""",downloaded,https://core.ac.uk/download/pdf/6264461.pdf
b7krz,Snapshots of Daily Life: Investigating Daily Situations Through the Lens of Smartphone Sensing,not found,
bhrwx,Raising awareness about social exclusion in schools through experiential learning,download error,https://core.ac.uk/download/534035473.pdf
bkuwa,"Exploring the Effect of Social Distance on Medium Preferences in Interpersonal Communication: A Replication of Amit, Wakslak and Trope (2013, Experiment 2)",not found,
c93vs,Dissertation: Natürliche Geräusche und Bilder in Benennungsaufgaben - Semantische Kontexteffekte innerhalb und zwischen  Stimulusmodalitäten,not found,
cd5r8,"Analysis code for the paper: Estimating the reliability of response time difference measures: Towards a standardized, model-based approach",not found,
cht59,Worsened self-rated health in the course of the COVID-19 pandemic among older adults in Europe,downloaded,https://core.ac.uk/download/638740087.pdf
cqsr8,Why did a vehicle stop? A methodology for detection and classification of stops in vehicle trajectories,error,
d4hjq,Estimation of electoral outcome for the Czech Social Democratic Party,error,
dez9b,Testing Bayesian Informative Hypotheses in 5 steps with R and JASP,downloaded,http://arxiv.org/abs/1704.02479
dgt8x,Analytic Code: Cognitive Processes Associated with Sudden Gains in Cognitive Therapy for Posttraumatic Stress Disorder in Routine Care,not found,
dh32q,Rating interviews - positivity,downloaded,https://core.ac.uk/download/73341537.pdf
dhmjx,Phantom rules: Establishing a subclass of rules,not found,
dkrhy,Psychometrics of the Biographical Inventory of Creative Behaviors (BICB),downloaded,https://core.ac.uk/download/149241626.pdf
dngyk,An experience sampling measure of the key features of rumination,downloaded,https://core.ac.uk/download/55847540.pdf
dpkyb,"Data, Materials, and Code for: Repetition learning is neither a continuous nor an implicit process",not found,
dqc3y,"Times are changing, bias isn’t: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in Industrial/Organizational Psychology",not found,
dr8gy,Association between in-ICU  red blood pack transfusion and long-term outcome in the ICU survivors,downloaded,https://core.ac.uk/download/1439066.pdf
dzwct,Impact of emotion laden acoustic stimuli on group synchronisation performance (data repository and codes),downloaded,https://core.ac.uk/download/552340610.pdf
eg6w5,Social Decoys: Leveraging Choice Architecture to Alter Social Preferences,not found,
eks6u,An introduction to R,downloaded,https://core.ac.uk/download/pdf/6250145.pdf
ex9fj,Quantifying the difference in reading fluency between L1 and L2 readers of English,downloaded,https://core.ac.uk/download/587374518.pdf
f3qrh,The Role of Linguistic Alignment on Question Development in FTF and SCMC Contexts: A Partial Replication Study - Code and data,not found,
