id,osf_title,status,pdf_url
25a6x,Causal Beliefs for Socioeconomic Status Attainment Scale: Development and Validation ,downloaded,
2j47e,Data and code for: Establishing the Transdiagnostic Contextual Pathways of Emotional Outbursts,not found,
2phst,Social Space Diffusion: Applications of a Latent Space Model to Diffusion with Uncertain Ties,download error,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8025911
2qjn5,Consonant co-occurrence classes and the feature-economy principle: Code and data,not found,
2sguf,Values about inequality and social control demonstrate important but complex relationships with economic and social conservatism in a US sample,not found,
2sz48,Impact of information presentation on interpretability of spatial hazard information: Lessons from a study in avalanche safety---Data and Code,downloaded,https://doi.org/10.5194/nhess-2021-147
2uf8j,Socially Situated Transmission: The Bias to Transmit Negative Information is Moderated by the Social Context,error,
2yq8a,Dissecting Functional Contributions of the Social Brain  to Strategic Behavior,downloaded,https://www.zora.uzh.ch/id/eprint/209774/7/konovalov_ruff_Dissecting_functional_contributions_of_the_social_brain_to_strategic_behavior.pdf
37rfb,Using verb morphology to predict subject number in L1 and L2 sentence processing: A visual-world eye-tracking experiment - Supplementary materials,not found,
3aryn,The Relative Effectiveness of Different Approaches to Animal Advocacy,not found,
3b59h,"Sievert, Vogel, &amp; Feeney (2022): Formalization and Administrative Burden as Obstacles to Employee Recruitment",not found,
3bn9u,‘In the Line of Fire’: Science news surveys,downloaded,
3bpn6,"Data and code for ""Contrasting parental roles shape sex differences in poison frog space use but not navigational performance.""",download error,https://doi.org/10.7554/elife.80483
3fnjq,Recognizing Campaign Effects on Social Media,downloaded,
3gfqn,VADIS -- Variation-based distance and similarity modeling,downloaded,
3hgpe,Science-related populism declining during the COVID-19 pandemic: A panel survey of the Swiss population before and after the Coronavirus outbreak,download error,https://journals.sagepub.com/doi/pdf/10.1177/09636625211056871
3kem6,Ongoing and future challenges of the network approach to psychopathology:  From theoretical conjectures to clinical translations,downloaded,
3uyjt,Machine-Learning Approaches to Structural Equation Modeling,download error,https://journals.sagepub.com/doi/pdf/10.1177/03611981231198838
3w8eg,The application of a network approach to Health-Related Quality of Life (HRQoL): introducing a new method for assessing HRQoL in healthy adults and cancer patients,downloaded,https://link.springer.com/content/pdf/10.1007%2Fs11136-015-1127-z.pdf
3wy58,Is flight initiation distance associated with longer-term survival in yellow-bellied marmots (Marmota flaviventer)?,downloaded,https://doi.org/10.1016/j.anbehav.2023.05.013
42nyv,Young Infants' Attentional Preference for Social Interactions,downloaded,
49sq5,neatStats,downloaded,https://www.tqmp.org/RegularArticles/vol17-1/p007/p007.pdf
4a9b6,Third-Party Social Interaction Targets Enhance Infants' Visual Learning,downloaded,https://pure.mpg.de/pubman/item/item_3293266_7/component/file_3293271/Thiele_Social_Infancy_2021.pdf
4anzm,"Normative Reference Values for FEES and VASES: Preliminary Data From 39 Nondysphagic, Community-Dwelling Adults",downloaded,
4fvwe,Priming and multiplication fact retrieval,download error,https://jnc.psychopen.eu/index.php/jnc/article/download/8319/8319.pdf
4g2tu,Beliefs about social dynamics and open science,download error,https://www.science.org/doi/pdf/10.1126/sciadv.adh4439?download=true
4kmdv,Learning about social category-based obligations,downloaded,https://osf.io/jxmzd/download
4sjxz,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code],not found,
4ya6x,Modeling latent topics in social media using Dynamic Exploratory Graph Analysis: The case of the right-wing and left-wing trolls in the 2016 US elections,downloaded,https://link.springer.com/content/pdf/10.1007/s11336-021-09820-y.pdf
53w96,INLA_GHG_GMD,not found,
5ejcq,PASANOA_PossibilityFrontier_archive,not found,
5ezfk,Workshop Advanced SWAT: Calibration and satellite data,downloaded,
5hpjn,"NetworkToolbox: Methods and Measures for Brain, Cognitive, and Psychometric Network Analysis in R",downloaded,https://journal.r-project.org/archive/2018/RJ-2018-065/RJ-2018-065.pdf
5nh94,Data and code for: 'Characterising group-level brain connectivity: a framework using Bayesian exponential random graph models',downloaded,
5qx7e,Practice-related Changes in Perceptual Evidence Accumulation Correlate with Changes in Working Memory,downloaded,https://psyarxiv.com/csf8y/download
5s34w,Impact of face masks on speech in Parkinson's disease: Effect of clear and loud speech styles,downloaded,
5te7n,Color SNARC: response latency and semantic processing,download error,https://doi.org/10.1027/1618-3169/a000577
5xdbu,Follow-up: Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns,not found,
5y27d,The Prospective Incidence of Treatment Resistant Schizophrenia: Analysis of the CATIE Trial using the TRRIP Consensus,download error,https://doi.org/10.1182/blood-2023-172583
5yvnb,The role of sensorimotor processes in social group contagion,error,
62je8,Consistent metacommunity structure despite inconsistent drivers of assembly at the continental scale,download error,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2656.13220
6579b,Assessing Distinguishable Social Skills in Medical Admission -  Does Construct-Driven Development Solve Validity Issues of Situational Judgment Tests? ,downloaded,https://bmcmededuc.biomedcentral.com/counter/pdf/10.1186/s12909-022-03305-x
67ncp,The role of mesotocin on social bonding in pinyon jays,downloaded,https://www.biorxiv.org/content/biorxiv/early/2019/08/08/599555.full.pdf
6g4js,Introduction to R Workshop CPA 2022 Calgary,downloaded,
6hx2n,Investigating the Syntax-Discourse Interface in the Phonetic Implementation of Discourse Markers,downloaded,
6jmke,Who cares? Pastoral care in Dutch Protestant Parishes,downloaded,
6krj7,Need dynamics,downloaded,
6pq9e,"Tap Water, Top Water? Quality (mis)-perception, price (mis)-perception and drinking water choice",download error,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023WR034803
6q73b,Inclusion of females does not increase variability in rodent research studies,downloaded,https://doi.org/10.1016/j.cobeha.2018.06.016
6qej7,From Controlled Trials to Classrooms,downloaded,https://www.nature.com/articles/s41539-022-00135-w.pdf
6ukwg,"Supplemental materials for preprint: Detecting (non)parallel evolution in multidimensional spaces: angles, correlations, and eigenanalysis",not found,
6ya5d,"Social Media, Habits, and Rewards",downloaded,
6z79s,Network Science for Mapping Bilingual Conversational Topics,downloaded,
73y8p,Validation of the RAQ-R in psychiatric patients,downloaded,https://bmcnurs.biomedcentral.com/counter/pdf/10.1186/s12912-022-00914-1
74qnu,Predicting Actual Social Skill Expression From Personality and Skill Self-Concepts,downloaded,https://www.mdpi.com/2079-3200/10/3/48/pdf?version=1659074676
7h94n,Data and code for Thompson et al. Chronology of early human impacts and ecosystem reorganisation in central Africa,not found,
7mey8,A Bayesian Approach to Evaluation of Soil Biogeochemical Models Meta-analysis Data and R and Stan Code,downloaded,
7v4ep,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""",not found,
7vbj9,Competition for novelty reduces information sampling in a research game - a registered report.,download error,https://doi.org/10.1098/rsos.180934
7vbtr,"Gyurkovics, Stafford, &amp; Levita: ""Cognitive control across adolescence: Dynamic adjustments and mind-wandering""",error,
7wd8e,Health patterns among migrant and non-migrant elderly in Europe – Analyses based on SHARE 2004-2020,downloaded,https://www.mdpi.com/1660-4601/18/22/12047/pdf?version=1637138124
7xsfj,Using avalanche problems to examine the effect of large-scale atmosphere-ocean oscillations on avalanche hazard in western Canada---Data and Code,downloaded,https://doi.org/10.5194/tc-2020-146
7z3mk,Exploring Content Knowledge: Country Profile of Science Strengths and Weaknesses in TIMSS. Possible Implications for Educational Professionals and Science Research,download error,https://www.tandfonline.com/doi/pdf/10.1080/00313831.2018.1478882?needAccess=true
82dqk,"Litter origins, accumulation rates, and hierarchical composition on urban roadsides of the Inland Empire, California",downloaded,https://doi.org/10.1088/1748-9326/ac3c6a
8abj4,Context Effects on Reproduced Magnitudes from Short-Term and Long-Term Memory,downloaded,https://link.springer.com/content/pdf/10.3758/s13414-019-01932-z.pdf
8akru,"Preconference ""Estimating and interpreting psychological networks in R""",not found,
8edp7,"Social factors, pre-existing mental disorders and distress during COVID-19",downloaded,
8fsbd,Assignment 7.1 Open Science,downloaded,
8fw3b,Familiar size,download error,https://doi.org/10.1098/rstb.2021.0464
8fzns,Code for 'Conditioning: How background variables can influence PISA scores',downloaded,https://discovery.ucl.ac.uk/10157019/2/Jerrim_Unblinded_Manuscript.pdf
92e6c,The energetics of uniquely human subsistence strategies,downloaded,
938ye,Learning second language morphosyntax in dialogue under explicit and implicit conditions: An experimental study with advanced adult learners of German - Supplemetary materials,downloaded,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9FF05EF874ADBBA890F0B64D9E6DF910/S1366728922000797a.pdf/div-class-title-learning-second-language-morphosyntax-in-dialogue-under-explicit-and-implicit-conditions-an-experimental-study-with-advanced-adult-learners-of-german-div.pdf
94jyp,Open Science @ SoPVS,download error,https://doi.org/10.1098/rsos.240286
975k3,Statistical Power and Optimal Design of RCTs Investigating Mediation Effects,downloaded,
9e3cu,R for Chemists and Biochemists materials and resources,downloaded,https://www.medrxiv.org/content/medrxiv/early/2024/11/05/2024.11.05.24316767.full.pdf
9gjyc,Strategic disinformation outperforms honesty in competition for social influence,download error,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8661551
9gq4a,Getting Started With R When You Know Absolutely Nothing,downloaded,
9jxzs,In situ laboratory for plastic degradation in the Red Sea,downloaded,https://www.nature.com/articles/s41598-022-15310-7.pdf
9jzfr,Construction and Initial Validation of the Worth and Value Self-Esteem Scale (WAVSES) ,not found,
9mc84,DGPS2018 - An Introduction to Machine Learning for Psychologists in R,downloaded,
9qbwv,Anchoring does not activate examples associated with the anchor value,downloaded,https://doi.org/10.31234/osf.io/4j5wb
9tnmv,Overcorrection for Social Categorization Information Moderates Impact Bias in Affective Forecasting,downloaded,
9vn68,"Familial resemblance in mental health symptoms, social and cognitive vulnerability, and personality: A study of patients with depressive and anxiety disorders and their siblings",downloaded,https://pure.rug.nl/ws/files/181246666/Familial_resemblance_in_mental_health_symptoms_social_and_cognitive_vulnerability_and_personality_A_study_of_patients_with_depressive_and_anxiety_disorders_and_their_siblings.pdf
9vr6q,Expanding R Through Accessible Interactivity: Development of tidy psychological statistics modules- SIPS Grants In Aid 2023,not found,
a3yd4,Cultural Diversity in Unequal Societies Sustained Through Cross-Cultural Competence and Identity Valuation,downloaded,https://www.nature.com/articles/s41599-021-00916-5.pdf
a6tuw,New insights into the correlation structure of DSM-IV depression symptoms in the general population versus subsamples of depressed individuals,downloaded,https://europepmc.org/articles/pmc6998857?pdf=render
a8htx,"Early representations of social intimacy: Infants, toddlers, and children use saliva sharing as a cue of close social affiliation",not found,
a9bv6,spreadr: A R package to simulate spreading activation in a network,downloaded,https://link.springer.com/content/pdf/10.3758/s13428-018-1186-5.pdf
abts4,SDT Probit Models for Deception Research - R,not found,
aczx5,"Travel and terrain advice statements in public avalanche bulletins: A quantitative analysis of who uses this information, what makes it useful, and how it can be improved for users---Data and Code",downloaded,https://doi.org/10.5194/nhess-2021-324
ajf3h,Kbrevis (2022),downloaded,https://www.medrxiv.org/content/medrxiv/early/2022/08/16/2022.08.11.22278688.full.pdf
akywf,"Codes: False alarm? A comprehensive reanalysis of “Evidence that psychopathology symptom networks have limited replicability” by Forbes, Wright, Markon, and Krueger.",downloaded,https://pure.uva.nl/ws/files/22200489/ForbesCommentary_PrePrint3.pdf
amd3r,"Data and code from ""Wind conditions influence breeding season movements in a nomadic polygynous shorebird""",not found,
b4gc7,"Workshop ""Estimating and interpreting psychological networks in R""",not found,
b5ydr,Meta-Analyses of Variables Related to Instruction in Augmentative and Alternative Communication Implementation,downloaded,https://edarxiv.org/nzq4h/download
b7krz,Snapshots of Daily Life: Investigating Daily Situations Through the Lens of Smartphone Sensing,downloaded,
bfq39,Best practice guidance for linear mixed-effects models in psychological science,downloaded,https://centaur.reading.ac.uk/88593/3/DaviesMeteyard_MixedModels_Revised2%2013012020.pdf
bhrwx,Raising awareness about social exclusion in schools through experiential learning,download error,https://research.tilburguniversity.edu/files/82279316/SP_Meral_Raising_awareness_about_social_exlusion_in_schools_through_experiental_learning_SPoE_2023.pdf
bkuwa,"Exploring the Effect of Social Distance on Medium Preferences in Interpersonal Communication: A Replication of Amit, Wakslak and Trope (2013, Experiment 2)",not found,
c8vfj,Social group membership does not modulate automatic imitation in a contrastive multi-agent paradigm,downloaded,https://osf.io/hzp2k/download
c93vs,Dissertation: Natürliche Geräusche und Bilder in Benennungsaufgaben - Semantische Kontexteffekte innerhalb und zwischen  Stimulusmodalitäten,not found,
cd5r8,"Analysis code for the paper: Estimating the reliability of response time difference measures: Towards a standardized, model-based approach",not found,
cht59,Worsened self-rated health in the course of the COVID-19 pandemic among older adults in Europe,download error,https://academic.oup.com/eurpub/advance-article-pdf/doi/10.1093/eurpub/ckad143/51100993/ckad143.pdf
cqsr8,Why did a vehicle stop? A methodology for detection and classification of stops in vehicle trajectories,downloaded,
csy8q,Transparency of CHI Research Artifacts: Results of a Self-Reported Survey,downloaded,https://www.zora.uzh.ch/id/eprint/192868/1/2020%20Transparency%20of%20CHI%20Research%20Artifacts.pdf
cxv5k,"Materials for the study ""Temporal trends in mortality and readmission after acute heart failure : A systematic review and meta-regression in the past three decades""",downloaded,https://hal.univ-lorraine.fr/hal-03114734/file/manuscript.pdf
d3tg5,The effects of everyday-life social interactions on anxiety-related autonomic responses differ between men and women,downloaded,https://www.nature.com/articles/s41598-023-36118-z.pdf
d4hjq,Estimation of electoral outcome for the Czech Social Democratic Party,not found,
d9jny,Code for paper ALL-IN meta-analysis: breathing life into living systematic reviews,downloaded,https://f1000research.com/articles/11-549/v1/pdf
dcw4x,Social inequalities and loneliness as predictors of ageing well,downloaded,https://www.mdpi.com/1660-4601/17/15/5314/pdf?version=1595568917
dez9b,Testing Bayesian Informative Hypotheses in 5 steps with R and JASP,not found,
dgt8x,Analytic Code: Cognitive Processes Associated with Sudden Gains in Cognitive Therapy for Posttraumatic Stress Disorder in Routine Care,download error,https://doi.org/10.1037/ccp0000488
dh32q,Rating interviews - positivity,download error,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09765504.pdf
